Datetime,Close,Volume
20200422-1340,279.18,478598
20200422-1345,279.25,417666
20200422-1350,279.33,1228916
20200422-1355,279.24,324801
20200422-1400,279.25,464811
20200422-1405,279.25,558181
20200422-1410,279.16,1097440
20200422-1415,279.04,298154
20200422-1420,279.48,582962
20200422-1425,279.24,622924
20200422-1430,279.75,2033659
20200422-1435,279.71,1194248
20200422-1440,279.9,626366
20200422-1445,280.02,3224609
20200422-1450,279.72,1656961
20200422-1455,279.99,700155
20200422-1500,280.3,1670399
20200422-1505,280.08,665583
20200422-1510,279.86,1160930
20200422-1515,280.01,821532
20200422-1520,280.11,1446204
20200422-1525,279.98,1391851
20200422-1530,280.07,1053762
20200422-1535,280.19,1278893
20200422-1540,280.39,1972579
20200422-1545,280.37,2108166
20200422-1550,280.34,4261151
20200422-1555,279.17,6716525
20200423-0930,281.6,4995978
20200423-0935,282.0,1955153
20200423-0940,281.94,1328621
20200423-0945,281.63,1311185
20200423-0950,281.21,1200757
20200423-0955,281.52,1138996
20200423-1000,281.38,1165222
20200423-1005,281.9,1092391
20200423-1010,281.82,817892
20200423-1015,282.25,1037447
20200423-1020,282.47,943998
20200423-1025,282.44,1645919
20200423-1030,283.17,1173478
20200423-1035,283.15,960276
20200423-1040,283.78,1719722
20200423-1045,283.36,1303775
20200423-1050,283.27,745018
20200423-1055,283.28,986088
20200423-1100,283.09,977623
20200423-1105,282.94,729694
20200423-1110,282.82,690593
20200423-1115,282.92,662494
20200423-1120,282.94,624630
20200423-1125,283.25,1051594
20200423-1130,282.49,1101713
20200423-1135,282.2,1006003
20200423-1140,282.26,710401
20200423-1145,281.92,1084765
20200423-1150,281.99,973286
20200423-1155,282.29,696162
20200423-1200,282.39,773912
20200423-1205,282.68,589351
20200423-1210,282.59,577140
20200423-1215,282.76,561155
20200423-1220,282.97,505085
20200423-1225,283.03,692513
20200423-1230,282.97,463125
20200423-1235,283.05,638920
20200423-1240,281.2,2532434
20200423-1245,280.93,7757827
20200423-1250,280.6,3601207
20200423-1255,281.01,2285786
20200423-1300,281.57,1769453
20200423-1305,281.45,1364792
20200423-1310,281.95,1006474
20200423-1315,281.23,999279
20200423-1320,280.3,1813863
20200423-1325,280.3,1732393
20200423-1330,280.84,1049979
20200423-1335,280.43,1049520
20200423-1340,279.81,1120583
20200423-1345,279.46,1244748
20200423-1350,279.22,1422327
20200423-1355,279.88,1319832
20200423-1400,279.82,933962
20200423-1405,279.25,836139
20200423-1410,279.63,2206376
20200423-1415,280.05,1132908
20200423-1420,280.58,619589
20200423-1425,280.59,756667
20200423-1430,280.58,557454
20200423-1435,280.37,585693
20200423-1440,280.69,657816
20200423-1445,280.47,663224
20200423-1450,281.13,830556
20200423-1455,281.33,673508
20200423-1500,281.15,619693
20200423-1505,280.82,630481
20200423-1510,280.11,1118130
20200423-1515,279.61,849954
20200423-1520,279.68,1042613
20200423-1525,279.95,814504
20200423-1530,280.07,1348626
20200423-1535,279.93,1111342
20200423-1540,279.68,1249436
20200423-1545,280.3,1059961
20200423-1550,279.45,2978537
